omega,weighting
6.220236530640877e-4,Equally weighted
6.356653660747028e-4,Equally weighted
6.623261559793287e-4,Equally weighted
6.812976603224368e-4,Equally weighted
5.555664962562577e-4,Equally weighted
6.523705576633116e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.206480787943594e-4,Equally weighted
5.510196932199264e-4,Equally weighted
6.409252197306642e-4,Equally weighted
5.906956968904792e-4,Equally weighted
7.0313502236437e-4,Equally weighted
5.710450617587556e-4,Equally weighted
5.893954482046698e-4,Equally weighted
5.714347422667072e-4,Equally weighted
6.392434991719213e-4,Equally weighted
6.235754540670749e-4,Equally weighted
5.700268770474811e-4,Equally weighted
6.044859530300081e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.735714166487388e-4,Equally weighted
5.785206583967878e-4,Equally weighted
5.493025784260197e-4,Equally weighted
6.131353701002466e-4,Equally weighted
6.317101936353228e-4,Equally weighted
6.183640595785351e-4,Equally weighted
5.894584600914118e-4,Equally weighted
6.184497944861107e-4,Equally weighted
5.362740951974098e-4,Equally weighted
6.144186219049484e-4,Equally weighted
6.581156768283985e-4,Equally weighted
6.260248513693887e-4,Equally weighted
5.59234540552466e-4,Equally weighted
6.066765994822203e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.074675167312474e-4,Equally weighted
6.113149580292516e-4,Equally weighted
5.924090139763654e-4,Equally weighted
6.918366831391122e-4,Equally weighted
6.5614082363507e-4,Equally weighted
6.046663868762566e-4,Equally weighted
5.998536336840327e-4,Equally weighted
5.767511373897167e-4,Equally weighted
5.25083911800277e-4,Equally weighted
6.267424886752323e-4,Equally weighted
5.849361659408559e-4,Equally weighted
6.749611654221382e-4,Equally weighted
6.422850241812056e-4,Equally weighted
5.382632589119036e-4,Equally weighted
5.137370344180429e-4,Equally weighted
5.852513947651844e-4,Equally weighted
6.278151465354165e-4,Equally weighted
6.409074139483543e-4,Equally weighted
5.606845311086217e-4,Equally weighted
5.138616830831154e-4,Equally weighted
5.128369171708295e-4,Equally weighted
6.276757276005108e-4,Equally weighted
5.800912442248835e-4,Equally weighted
6.258701613163653e-4,Equally weighted
6.135111019187581e-4,Equally weighted
6.108561729662037e-4,Equally weighted
7.430897784644969e-4,Equally weighted
5.389547469644657e-4,Equally weighted
5.047369507201656e-4,Equally weighted
6.267416045063755e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.174817934716359e-4,Equally weighted
6.133862438380258e-4,Equally weighted
6.133860573853406e-4,Equally weighted
6.107719763410203e-4,Equally weighted
5.988893537919389e-4,Equally weighted
6.813115006348035e-4,Equally weighted
5.888760525432595e-4,Equally weighted
6.153786957824377e-4,Equally weighted
