omega,weighting
6.527695174535714e-4,Equally weighted
6.163729212108222e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.126881139243958e-4,Equally weighted
6.163959340439504e-4,Equally weighted
5.5502757708047e-4,Equally weighted
6.391432967743863e-4,Equally weighted
5.048662974253106e-4,Equally weighted
7.029694771718888e-4,Equally weighted
7.546521384789502e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.807844094770647e-4,Equally weighted
6.16397358218039e-4,Equally weighted
5.711909156182665e-4,Equally weighted
5.668865783157436e-4,Equally weighted
5.939739480207591e-4,Equally weighted
6.094106087501459e-4,Equally weighted
6.289777001653757e-4,Equally weighted
5.930348953322138e-4,Equally weighted
6.335113444081396e-4,Equally weighted
5.896760344159229e-4,Equally weighted
6.063919333425744e-4,Equally weighted
6.371206730120473e-4,Equally weighted
6.329578609087377e-4,Equally weighted
5.494837483916125e-4,Equally weighted
6.218854689808821e-4,Equally weighted
6.805738016566641e-4,Equally weighted
5.652001367583024e-4,Equally weighted
6.198942819869792e-4,Equally weighted
5.580161444547951e-4,Equally weighted
5.686225363862735e-4,Equally weighted
6.040636297383118e-4,Equally weighted
6.360545147705638e-4,Equally weighted
6.071917336569155e-4,Equally weighted
6.71769043524702e-4,Equally weighted
6.820716929203056e-4,Equally weighted
6.181893967820943e-4,Equally weighted
6.335389744219372e-4,Equally weighted
6.343825444569157e-4,Equally weighted
5.978009101856199e-4,Equally weighted
5.900911480538523e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.64677494481593e-4,Equally weighted
6.193572215482637e-4,Equally weighted
6.830028614970798e-4,Equally weighted
6.185105569123888e-4,Equally weighted
6.227863932232265e-4,Equally weighted
6.141065299481355e-4,Equally weighted
5.562058847202334e-4,Equally weighted
6.900559961120769e-4,Equally weighted
5.194843961007421e-4,Equally weighted
5.518913025410583e-4,Equally weighted
5.771450976574921e-4,Equally weighted
5.403245713033142e-4,Equally weighted
5.730536561931417e-4,Equally weighted
5.829263562543538e-4,Equally weighted
6.507735660278934e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.376706356464589e-4,Equally weighted
5.54552910999901e-4,Equally weighted
5.740942234295286e-4,Equally weighted
6.856694763314241e-4,Equally weighted
6.907136172971812e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.992372368026567e-4,Equally weighted
6.357287020456938e-4,Equally weighted
5.506040705123647e-4,Equally weighted
5.809784934811882e-4,Equally weighted
5.566029820873247e-4,Equally weighted
5.109175391150397e-4,Equally weighted
5.504827930717713e-4,Equally weighted
6.051852674008554e-4,Equally weighted
6.120778784198218e-4,Equally weighted
6.126770006629396e-4,Equally weighted
5.407290247103743e-4,Equally weighted
5.754457336257788e-4,Equally weighted
6.21387227556202e-4,Equally weighted
5.657839120552931e-4,Equally weighted
6.141904299083678e-4,Equally weighted
6.048794792979823e-4,Equally weighted
5.290368954682389e-4,Equally weighted
5.889559382999447e-4,Equally weighted
5.901193880798298e-4,Equally weighted
6.153085179292649e-4,Equally weighted
5.552073488936636e-4,Equally weighted
6.10811337539864e-4,Equally weighted
5.788612859565621e-4,Equally weighted
6.313352010512571e-4,Equally weighted
6.363645737112114e-4,Equally weighted
6.21442674356577e-4,Equally weighted
5.965781781109017e-4,Equally weighted
6.409232733110552e-4,Equally weighted
5.984124649357009e-4,Equally weighted
5.408531963002731e-4,Equally weighted
5.925347739402389e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.645682069333601e-4,Equally weighted
5.753082857831923e-4,Equally weighted
6.4144483256696e-4,Equally weighted
6.171474662915611e-4,Equally weighted
5.660420319057481e-4,Equally weighted
5.975605376523781e-4,Equally weighted
6.524779567330159e-4,Equally weighted
5.96148015365587e-4,Equally weighted
5.193980918854172e-4,Equally weighted
6.132983338574637e-4,Equally weighted
6.104174529726802e-4,Equally weighted
7.03521660582344e-4,Equally weighted
6.489291135457636e-4,Equally weighted
6.818152564043181e-4,Equally weighted
6.111952963590525e-4,Equally weighted
